Image_Name	Instrument_ID	Image_Mid_Time	Exposure_Duration	Filter_Wheel1	Filter_Wheel2	Gain_Mode_ID	Instrument_Mode_ID	Data_Conversion_Type	Inst_Cmprs_Type	Shutter_State_ID	Observation_ID	Description	Detector_Temperature
N1670277193_1	ISSNA	2010339210609899	680	CL1	CL2	29 ELECTRONS PER DN	FULL	TABLE	LOSSLESS	ENABLED	ISS_141OT_SATELLORB006_PRIME	N/A	-89.318428
N1670277226_1	ISSNA	2010339210643168	150	CL1	CL2	29 ELECTRONS PER DN	FULL	TABLE	LOSSLESS	ENABLED	ISS_141OT_SATELLORB006_PRIME	N/A	-89.318428
N1670277613_1	ISSNA	2010339211309896	680	CL1	CL2	29 ELECTRONS PER DN	FULL	TABLE	LOSSLESS	ENABLED	ISS_141OT_SATELLORB006_PRIME	N/A	-89.318428
N1670277646_1	ISSNA	2010339211343165	150	CL1	CL2	29 ELECTRONS PER DN	FULL	TABLE	LOSSLESS	ENABLED	ISS_141OT_SATELLORB006_PRIME	N/A	-89.318428
N1670278033_1	ISSNA	2010339212009894	680	CL1	CL2	29 ELECTRONS PER DN	FULL	TABLE	LOSSLESS	ENABLED	ISS_141OT_SATELLORB006_PRIME	N/A	-89.318428
N1670278066_1	ISSNA	2010339212043162	150	CL1	CL2	29 ELECTRONS PER DN	FULL	TABLE	LOSSLESS	ENABLED	ISS_141OT_SATELLORB006_PRIME	N/A	-89.318428
N1670278453_1	ISSNA	2010339212709891	680	CL1	CL2	29 ELECTRONS PER DN	FULL	TABLE	LOSSLESS	ENABLED	ISS_141OT_SATELLORB006_PRIME	N/A	-89.318428
N1670278486_1	ISSNA	2010339212743160	150	CL1	CL2	29 ELECTRONS PER DN	FULL	TABLE	LOSSLESS	ENABLED	ISS_141OT_SATELLORB006_PRIME	N/A	-89.318428
N1670278873_1	ISSNA	2010339213409888	680	CL1	CL2	29 ELECTRONS PER DN	FULL	TABLE	LOSSLESS	ENABLED	ISS_141OT_SATELLORB006_PRIME	N/A	-89.318428
N1670278906_1	ISSNA	2010339213443157	150	CL1	CL2	29 ELECTRONS PER DN	FULL	TABLE	LOSSLESS	ENABLED	ISS_141OT_SATELLORB006_PRIME	N/A	-89.318428
N1670279293_1	ISSNA	2010339214109886	680	CL1	CL2	29 ELECTRONS PER DN	FULL	TABLE	LOSSLESS	ENABLED	ISS_141OT_SATELLORB006_PRIME	N/A	-89.318428
N1670279326_1	ISSNA	2010339214143154	150	CL1	CL2	29 ELECTRONS PER DN	FULL	TABLE	LOSSLESS	ENABLED	ISS_141OT_SATELLORB006_PRIME	N/A	-89.543076
W1670279713_1	ISSWA	2010339214810203	40	CL1	BL1	29 ELECTRONS PER DN	SUM2	TABLE	LOSSLESS	ENABLED	ISS_141OT_SATELLORB006_PRIME	N/A	-87.970093
W1670279730_1	ISSWA	2010339214827225	5	CL1	GRN	29 ELECTRONS PER DN	SUM2	TABLE	LOSSLESS	ENABLED	ISS_141OT_SATELLORB006_PRIME	N/A	-87.895164
W1670279748_1	ISSWA	2010339214845044	380	MT2	CL2	29 ELECTRONS PER DN	SUM2	TABLE	LOSSLESS	ENABLED	ISS_141OT_SATELLORB006_PRIME	N/A	-88.045021
W1670279765_1	ISSWA	2010339214901238	2000	MT3	CL2	29 ELECTRONS PER DN	SUM4	TABLE	LOSSLESS	ENABLED	ISS_141OT_SATELLORB006_PRIME	N/A	-87.970093
W1670279782_1	ISSWA	2010339214919112	260	CB2	CL2	29 ELECTRONS PER DN	FULL	TABLE	LOSSLESS	ENABLED	ISS_141OT_SATELLORB006_PRIME	N/A	-87.970093
